STATIONKEY,TAXON,NUMBER,WEIGHT,WTCODE
40260053,CARCHARHINUS ACRONOTUS,1,2.2,
40260053,CARCHARHINUS BREVIPINNA,1,3.9,
40260054,CARCHARHINUS ACRONOTUS,2,12.9,
40260054,GALEOCERDO CUVIERI,1,1.7,
40260054,RHIZOPRIONODON TERRAENOVAE,3,7.4,
40260054,CARCHARHINUS PLUMBEUS,1,36.4,
40260055,CARCHARHINUS ACRONOTUS,2,10.5,
40260055,CARCHARHINUS PLUMBEUS,1,38.6,
40260056,CARCHARHINUS ACRONOTUS,1,2.5,
40260056,GINGLYMOSTOMA CIRRATUM,1,39.0,
40260056,EPINEPHELUS MORIO,2,3.4,
40260057,GINGLYMOSTOMA CIRRATUM,2,57.0,
40260057,CARCHARHINUS ACRONOTUS,1,2.9,
40260058,DIPLECTRUM BIVITTATUM,1,0.3,
40260058,EPINEPHELUS MORIO,4,8.3,
40260059,RHIZOPRIONODON TERRAENOVAE,1,3.9,
40260059,EPINEPHELUS MORIO,8,20.8,
40260059,CARCHARHINUS BREVIPINNA,1,19.0,
40260059,HAEMULON AUROLINEATUM,1,0.1,
40260060,RHIZOPRIONODON TERRAENOVAE,6,13.5,
40260060,CARCHARHINUS ACRONOTUS,1,2.6,
40260061,ISURUS OXYRINCHUS,1,85.9,
40260063,EPINEPHELUS DRUMMONDHAYI,1,3.0,
40260063,MYCTEROPERCA MICROLEPIS,1,18.0,
40260066,RHIZOPRIONODON TERRAENOVAE,4,10.7,
40260066,CARCHARHINUS ACRONOTUS,2,18.3,
40260066,TRACHINOCEPHALUS MYOPS,1,0.2,
40260067,RHIZOPRIONODON TERRAENOVAE,2,3.7,
40260067,EPINEPHELUS MORIO,37,65.8,
40260068,RHIZOPRIONODON TERRAENOVAE,6,23.6,
40260068,CARCHARHINUS ACRONOTUS,1,3.6,
40260069,RHIZOPRIONODON TERRAENOVAE,4,17.0,
40260069,CARCHARHINUS ACRONOTUS,1,2.0,
40260069,EPINEPHELUS MORIO,8,35.5,
40260070,EPINEPHELUS MORIO,3,4.3,
40260070,CARCHARHINUS ACRONOTUS,1,4.4,
40260071,CARCHARHINUS LEUCAS,2,170.0,
40260071,GINGLYMOSTOMA CIRRATUM,3,247.0,
40260071,CARCHARHINUS ACRONOTUS,2,6.2,
40260072,RHIZOPRIONODON TERRAENOVAE,5,11.2,
40260073,RHOMBOPLITES AURORUBENS,1,0.1,
40260073,EPINEPHELUS MORIO,6,22.7,
40260073,MYCTEROPERCA PHENAX,1,2.5,
40260073,LUTJANUS GRISEUS,1,1.3,
40260074,EPINEPHELUS MORIO,1,5.0,
40260074,LUTJANUS CAMPECHANUS,2,5.3,
40260074,CARCHARHINUS ACRONOTUS,1,7.8,
40260074,RHIZOPRIONODON TERRAENOVAE,4,8.1,
40260074,LUTJANUS GRISEUS,1,1.1,
40260075,CARCHARHINUS ACRONOTUS,1,12.0,
40260075,RHIZOPRIONODON TERRAENOVAE,4,10.8,
40260075,CARCHARHINUS ACRONOTUS,1,7.4,
40260078,EPINEPHELUS NIGRITUS,1,14.2,
40260079,MUSTELUS CANIS,1,2.1,
40260081,RHIZOPRIONODON TERRAENOVAE,1,2.6,
40260082,RHIZOPRIONODON TERRAENOVAE,2,8.0,
40260082,LUTJANUS CAMPECHANUS,1,3.1,
40260083,CARCHARHINUS ACRONOTUS,1,8.0,
40260083,EPINEPHELUS MORIO,10,23.5,
40260083,CARCHARHINUS ACRONOTUS,2,11.5,
40260083,MYCTEROPERCA MICROLEPIS,1,6.3,
40260083,EPINEPHELUS MORIO,1,,
40260084,CARCHARHINUS ACRONOTUS,1,5.3,
40260084,CARCHARHINUS ACRONOTUS,1,,
40260084,RHIZOPRIONODON TERRAENOVAE,1,5.3,
40260084,CARCHARHINUS LEUCAS,1,40.0,
40260084,GINGLYMOSTOMA CIRRATUM,1,17.0,
40260085,EPINEPHELUS MORIO,3,3.8,
40260085,CARCHARHINUS ACRONOTUS,1,4.4,
40260086,GINGLYMOSTOMA CIRRATUM,3,95.0,
40260086,EPINEPHELUS MORIO,7,17.9,
40260086,MYCTEROPERCA MICROLEPIS,1,2.0,
40260087,CARCHARHINUS ACRONOTUS,1,3.5,
40260088,SPHYRNA MOKARRAN,1,66.0,
40260088,CARCHARHINUS ACRONOTUS,3,21.4,
40260088,GINGLYMOSTOMA CIRRATUM,1,16.5,
40260088,EPINEPHELUS MORIO,4,10.6,
40260088,MYCTEROPERCA MICROLEPIS,1,3.3,
40260089,EPINEPHELUS MORIO,5,12.1,
40260089,GINGLYMOSTOMA CIRRATUM,1,15.0,
40260089,CARCHARHINUS LIMBATUS,4,67.0,
40260089,CARCHARHINUS ACRONOTUS,18,90.7,
40260089,CARCHARHINUS ACRONOTUS,2,10.0,
40260089,CARCHARHINUS LIMBATUS,2,21.4,
40260090,MUSTELUS CANIS,1,2.7,
40260090,RHIZOPRIONODON TERRAENOVAE,8,28.0,
40260090,CARCHARHINUS ACRONOTUS,1,5.7,
40260090,MUSTELUS CANIS,1,,
40260091,MYCTEROPERCA MICROLEPIS,1,12.8,
40260092,CARCHARHINUS FALCIFORMIS,1,5.6,
40260092,GYMNOTHORAX KOLPOS,1,0.3,
40260093,SQUALUS CUBENSIS,1,0.8,
40260094,LOPHOLATILUS CHAMAELEONTICEPS,5,8.6,
40260094,EPINEPHELUS FLAVOLIMBATUS,3,9.6,
40260095,UROPHYCIS CIRRATUS,1,0.5,
40260095,EPINEPHELUS FLAVOLIMBATUS,3,8.0,
40260095,LOPHOLATILUS CHAMAELEONTICEPS,3,4.4,
40260098,ECHENEIS NAUCRATES,1,1.4,
40260098,LUTJANUS CAMPECHANUS,2,4.4,
40260098,EPINEPHELUS MORIO,2,3.7,
40260098,MYCTEROPERCA PHENAX,1,3.2,
40260099,GALEOCERDO CUVIERI,1,18.0,
40260099,EPINEPHELUS MORIO,1,2.0,
40260099,EPINEPHELUS MORIO,1,,
40260099,GINGLYMOSTOMA CIRRATUM,1,60.0,
40260099,SPHYRNA MOKARRAN,1,106.0,
40260099,CARCHARHINUS LIMBATUS,1,32.0,
40260100,CARCHARHINUS PLUMBEUS,2,106.0,
40260100,CARCHARHINUS LIMBATUS,1,15.0,
40260100,GINGLYMOSTOMA CIRRATUM,1,70.0,
40260101,RHIZOPRIONODON TERRAENOVAE,2,4.5,
40260101,CARCHARHINUS ACRONOTUS,1,3.2,
40260101,CARCHARHINUS ACRONOTUS,1,2.9,
40260101,EPINEPHELUS MORIO,2,,
40260101,ARIUS FELIS,1,0.6,
40260101,CARCHARHINUS LIMBATUS,2,30.0,
40260101,EPINEPHELUS MORIO,2,5.3,
40260102,OPSANUS PARDUS,1,0.6,
40260102,EPINEPHELUS MORIO,1,2.8,
40260103,MYCTEROPERCA PHENAX,1,1.7,
40260103,EPINEPHELUS MORIO,4,6.5,
40260103,RHIZOPRIONODON TERRAENOVAE,2,5.1,
40260103,CARCHARHINUS ACRONOTUS,7,23.7,
40260103,RHIZOPRIONODON TERRAENOVAE,1,,
40260103,CARCHARHINUS LEUCAS,2,90.9,
40260104,GINGLYMOSTOMA CIRRATUM,2,120.0,
40260104,CARCHARHINUS BREVIPINNA,1,1.5,
40260105,CARCHARHINUS PLUMBEUS,1,89.0,
40260105,GINGLYMOSTOMA CIRRATUM,1,70.0,
