STATIONKEY,TAXON,NUMBER,WEIGHT,WTCODE
40272157,CARCHARHINUS ACRONOTUS,2,7.4,
40272157,CARCHARHINUS ACRONOTUS,1,10.0,E
40272157,CARCHARHINUS LIMBATUS,1,15.0,
40272157,RHIZOPRIONODON TERRAENOVAE,5,15.7,
40272158,CARCHARHINUS PLUMBEUS,1,30.0,
40272158,CYNOSCION ARENARIUS,1,0.8,
40272158,EPINEPHELUS FLAVOLIMBATUS,2,13.6,
40272158,MUSTELUS CANIS,10,15.8,
40272158,MUSTELUS CANIS,1,,D
40272158,OPHICHTHUS REX,1,1.6,
40272158,OPHICHTHUS REX,1,10.0,E
40272159,ISTIOPHORUS PLATYPTERUS,1,16.3,
40272159,LUTJANUS CAMPECHANUS,1,7.0,
40272159,LUTJANUS CAMPECHANUS,1,7.0,E
40272159,MUSTELUS CANIS,2,14.0,
40272159,OPHICHTHUS REX,1,6.0,E
40272159,RHIZOPRIONODON TERRAENOVAE,10,19.9,
40272160,OPHICHTHUS REX,1,1.3,
40272160,RHIZOPRIONODON TERRAENOVAE,2,3.9,
40272160,UNID.FISH,1,,C
40272161,LUTJANUS CAMPECHANUS,7,50.4,
40272161,RHIZOPRIONODON TERRAENOVAE,11,30.0,
40272162,MUSTELUS CANIS,2,14.7,
40272162,OPHICHTHUS REX,1,0.7,
40272162,OPHICHTHUS REX,1,6.2,E
40272162,RHIZOPRIONODON TERRAENOVAE,2,3.4,
40272163,OPHICHTHUS REX,1,12.0,
40272164,EPINEPHELUS FLAVOLIMBATUS,1,7.3,
40272164,MUSTELUS CANIS,1,1.9,
40272164,OPHICHTHUS REX,1,1.8,
40272165,MUSTELUS CANIS,11,76.8,
40272166,CARCHARHINUS ACRONOTUS,3,30.2,
40272166,RHIZOPRIONODON TERRAENOVAE,10,29.5,
40272166,RHIZOPRIONODON TERRAENOVAE,1,,D
40272167,CARCHARHINUS BREVIPINNA,20,366.2,
40272167,CARCHARHINUS BREVIPINNA,2,21.1,E
40272167,CARCHARHINUS LEUCAS,2,116.0,
40272167,CARCHARHINUS LIMBATUS,13,242.2,
40272167,CARCHARHINUS LIMBATUS,1,,D
40272167,CARCHARHINUS LIMBATUS,1,23.0,E
40272167,RHIZOPRIONODON TERRAENOVAE,4,8.7,
40272167,RHIZOPRIONODON TERRAENOVAE,1,,D
40272168,CARCHARHINUS ACRONOTUS,4,37.7,
40272168,CARCHARHINUS LIMBATUS,1,10.5,
40272168,RHIZOPRIONODON TERRAENOVAE,1,1.7,E
40272169,BAGRE MARINUS,2,1.6,
40272169,CARCHARHINUS ACRONOTUS,6,40.3,
40272169,CARCHARHINUS LIMBATUS,2,21.9,
40272169,GALEOCERDO CUVIERI,2,198.0,
40272169,GALEOCERDO CUVIERI,1,25.1,E
40272169,RHIZOPRIONODON TERRAENOVAE,19,46.1,
40272169,RHIZOPRIONODON TERRAENOVAE,2,6.6,E
40272169,SPHYRNA LEWINI,1,1.7,
40272170,MUSTELUS CANIS,1,8.6,
40272170,RHIZOPRIONODON TERRAENOVAE,6,16.6,
40272171,CENTROPRISTIS PHILADELPHICUS,1,0.2,
40272171,OPHICHTHUS REX,2,12.9,
40272171,RHIZOPRIONODON TERRAENOVAE,8,18.6,
40272172,MUSTELUS CANIS,2,6.5,
40272172,OPHICHTHUS REX,2,25.0,E
40272173,CARCHARHINUS ACRONOTUS,2,22.2,
40272173,CARCHARHINUS LEUCAS,1,66.0,
40272173,CARCHARHINUS LIMBATUS,1,20.0,
40272173,LUTJANUS CAMPECHANUS,3,20.4,
40272173,OPHICHTHUS REX,1,1.2,
40272173,RHIZOPRIONODON TERRAENOVAE,39,150.0,
40272173,RHIZOPRIONODON TERRAENOVAE,1,,D
40272174,CARCHARHINUS ACRONOTUS,5,36.8,
40272174,CARCHARHINUS LIMBATUS,1,16.0,
40272174,RHIZOPRIONODON TERRAENOVAE,12,35.6,
40272175,MUSTELUS CANIS,7,52.4,
40272175,OPHICHTHUS REX,2,19.0,
40272175,SPHYRNA LEWINI,1,20.0,
40272176,CARCHARHINUS ACRONOTUS,4,37.5,
40272176,CARCHARHINUS LIMBATUS,2,53.0,
40272176,RHIZOPRIONODON TERRAENOVAE,24,72.6,
40272176,RHIZOPRIONODON TERRAENOVAE,2,,D
40272177,CARCHARHINIDAE,1,14.0,E
40272177,CARCHARHINUS BREVIPINNA,7,98.0,
40272177,CARCHARHINUS LIMBATUS,10,219.0,
40272178,CARCHARHINUS ACRONOTUS,1,12.2,
40272178,CARCHARHINUS LIMBATUS,2,78.0,
40272178,CARCHARHINUS LIMBATUS,2,36.0,E
40272178,RHIZOPRIONODON TERRAENOVAE,22,76.0,
40272178,RHIZOPRIONODON TERRAENOVAE,2,,D
40272179,CARCHARHINUS LIMBATUS,1,19.0,
40272179,MUSTELUS CANIS,6,43.9,
40272179,OPHICHTHUS REX,3,8.3,
40272179,OPHICHTHUS REX,1,5.6,E
40272179,RHIZOPRIONODON TERRAENOVAE,14,46.9,
40272179,RHIZOPRIONODON TERRAENOVAE,1,,D
40272179,SPHYRNA LEWINI,1,17.0,
40272180,EPINEPHELUS FLAVOLIMBATUS,2,33.0,
40272180,GALEOCERDO CUVIERI,1,300.0,E
40272180,GYMNOTHORAX KOLPOS,1,1.3,
40272180,MUSTELUS CANIS,1,4.6,
40272180,OPHICHTHUS REX,6,57.5,
40272180,UROPHYCIS CIRRATUS,1,1.5,
40272181,MUSTELUS CANIS,12,83.4,
40272181,MUSTELUS CANIS,1,4.0,E
40272181,OPHICHTHUS REX,1,2.2,
40272181,OPHICHTHUS REX,8,99.0,E
40272181,RHIZOPRIONODON TERRAENOVAE,4,13.4,
40272182,MUSTELUS CANIS,3,24.5,
40272182,OPHICHTHUS REX,5,18.5,
40272182,OPHICHTHUS REX,8,61.0,E
40272182,RHIZOPRIONODON TERRAENOVAE,11,37.4,
40272182,RHIZOPRIONODON TERRAENOVAE,1,,D
40272183,CARCHARHINUS BREVIPINNA,2,91.0,
40272183,CARCHARHINUS ISODON,1,17.0,
40272183,CARCHARHINUS LIMBATUS,8,152.0,
40272183,CARCHARHINUS LIMBATUS,1,21.8,E
40272183,RHIZOPRIONODON TERRAENOVAE,3,10.2,
40272183,RHIZOPRIONODON TERRAENOVAE,6,,D
40272184,CARCHARHINUS SIGNATUS,1,4.0,
40272184,LOPHOLATILUS CHAMAELEONTICEPS,1,10.9,
40272184,MUSTELUS CANIS,2,10.5,
40272184,OPHICHTHUS REX,8,77.3,
40272184,OPHICHTHUS REX,1,10.0,E
40272184,XIPHIAS GLADIUS,1,11.0,
40272185,MUSTELUS CANIS,3,17.5,
40272185,OPHICHTHUS REX,1,2.0,
40272185,RHIZOPRIONODON TERRAENOVAE,31,98.7,
40272185,SPHYRNA LEWINI,1,13.2,
40272186,MUSTELUS,1,2.0,E
40272186,MUSTELUS NORRISI,2,4.0,
40272187,CARCHARHINUS ACRONOTUS,3,38.0,
40272187,SPHYRNA LEWINI,1,54.0,
40272187,SPHYRNA LEWINI,1,70.0,E
40272189,ARIUS FELIS,1,0.4,
40272190,LUTJANUS CAMPECHANUS,1,10.2,
40272190,MURAENA RETIFERA,1,0.7,
40272190,TRACHINOCEPHALUS MYOPS,1,0.1,
40272191,LOPHOLATILUS CHAMAELEONTICEPS,6,20.4,
40272191,MUSTELUS CANIS,3,15.1,
40272192,CARCHARHINUS FALCIFORMIS,2,45.5,
40272192,EPINEPHELUS FLAVOLIMBATUS,4,15.9,
40272192,LOPHOLATILUS CHAMAELEONTICEPS,2,3.0,
40272193,BAGRE MARINUS,13,14.2,
40272193,GALEOCERDO CUVIERI,1,4.2,
40272194,ARIUS FELIS,1,0.4,
40272195,CARCHARHINUS ACRONOTUS,1,9.2,
40272195,CARCHARHINUS PLUMBEUS,1,53.0,E
40272195,ECHENEIS NAUCRATES,1,1.8,
40272196,MUSTELUS NORRISI,2,19.8,
40272196,OPHICHTHUS REX,1,12.0,E
40272197,EPINEPHELUS FLAVOLIMBATUS,2,5.7,
40272197,SQUALUS CUBENSIS,1,0.9,
40272198,LOPHOLATILUS CHAMAELEONTICEPS,1,3.6,
40272199,EPINEPHELUS FLAVOLIMBATUS,2,10.9,
40272199,LOPHOLATILUS CHAMAELEONTICEPS,1,1.3,
40272199,MUSTELUS CANIS,1,3.2,
40272201,MUSTELUS CANIS,1,2.7,
40272202,UROPHYCIS CIRRATUS,1,0.6,
40272203,CARCHARHINUS ACRONOTUS,1,7.1,
40272203,EPINEPHELUS MORIO,1,1.9,
40272203,RHIZOPRIONODON TERRAENOVAE,20,39.2,
40272204,RHIZOPRIONODON TERRAENOVAE,10,39.6,
40272205,CARCHARHINUS ACRONOTUS,2,9.1,
40272205,EPINEPHELUS MORIO,7,17.6,
40272205,GALEOCERDO CUVIERI,1,6.2,
40272205,GINGLYMOSTOMA CIRRATUM,2,60.5,E
40272206,CARCHARHINUS ACRONOTUS,5,22.2,
40272206,CARCHARHINUS ACRONOTUS,1,4.8,E
40272206,EPINEPHELUS MORIO,1,1.3,
40272206,GINGLYMOSTOMA CIRRATUM,1,40.4,E
40272207,EPINEPHELUS MORIO,1,4.4,
40272208,RHIZOPRIONODON TERRAENOVAE,1,1.6,
40277001,CARCHARHINUS ACRONOTUS,3,7.8,
40277001,CARCHARHINUS BREVIPINNA,5,10.0,
40277002,CARCHARHINUS ACRONOTUS,2,11.7,
40277002,GALEOCERDO CUVIERI,1,11.3,
40277003,CARCHARHINUS LIMBATUS,1,43.8,
40277003,CARCHARHINUS LIMBATUS,1,33.9,E
40277003,RHIZOPRIONODON TERRAENOVAE,25,103.9,
40277003,RHIZOPRIONODON TERRAENOVAE,2,,D
40277004,MUSTELUS NORRISI,1,4.6,
40277004,OPHICHTHUS REX,2,9.3,
40277004,OPHICHTHUS REX,1,7.5,E
40277005,MYCTEROPERCA PHENAX,1,7.8,
40277005,SERIOLA DUMERILI,2,24.6,
40277005,SPHYRNA LEWINI,1,50.0,E
40277006,LOPHOLATILUS CHAMAELEONTICEPS,5,23.0,
40277006,MUSTELUS CANIS,1,7.7,
40277006,MUSTELUS NORRISI,3,14.9,
40277006,OPHICHTHUS REX,1,1.2,
40277006,SQUALUS CUBENSIS,2,1.2,
40277007,EPINEPHELUS FLAVOLIMBATUS,1,6.2,
40277007,LOPHOLATILUS CHAMAELEONTICEPS,2,6.5,
40277007,MUSTELUS NORRISI,6,23.9,
40277007,OPHICHTHUS REX,6,15.7,
40277008,MUSTELUS NORRISI,1,1.6,
40277008,SPHYRNA LEWINI,1,19.0,
40277009,OPHICHTHUS GOMESII,1,0.2,E
40277010,LOPHOLATILUS CHAMAELEONTICEPS,2,5.2,
40277010,SQUALUS MITSUKURII,1,2.0,
40277010,UROPHYCIS CIRRATUS,1,1.0,
40277010,squalus mitsukurii,1,2.0,
40277011,EPINEPHELUS FLAVOLIMBATUS,5,28.4,
40277011,OPHICHTHUS REX,1,1.5,
40277012,MUSTELUS CANIS,6,34.8,
40277012,MUSTELUS CANIS,1,9.0,E
40277012,OPHICHTHUS PUNCTICEPS,1,0.4,
40277015,BAGRE MARINUS,1,1.0,
40277015,CARCHARHINUS LIMBATUS,1,24.2,
40277015,RHIZOPRIONODON TERRAENOVAE,4,2.6,
40277015,RHIZOPRIONODON TERRAENOVAE,3,0.6,D
40277016,RHIZOPRIONODON TERRAENOVAE,3,10.0,
40277017,CARCHARHINUS ACRONOTUS,1,8.9,
40277017,CARCHARHINUS LIMBATUS,1,10.8,
40277017,CARCHARHINUS PLUMBEUS,3,99.0,
40277018,CARCHARHINUS PLUMBEUS,1,32.0,
40277018,CARCHARHINUS PLUMBEUS,1,36.0,E
40277019,MUSTELUS CANIS,2,4.9,
40277019,MUSTELUS NORRISI,2,6.8,
40277020,LOPHOLATILUS CHAMAELEONTICEPS,9,18.0,
40277021,LOPHOLATILUS CHAMAELEONTICEPS,10,25.2,
40277021,SQUALUS MITSUKURII,1,1.5,
40277021,UROPHYCIS CIRRATUS,1,0.8,
40277021,UROPHYCIS CIRRATUS,1,0.9,E
40277022,LOPHOLATILUS CHAMAELEONTICEPS,3,10.0,
40277022,SQUALUS CUBENSIS,1,2.3,
40277023,EPINEPHELUS FLAVOLIMBATUS,2,3.5,
40277023,GYMNOTHORAX KOLPOS,1,1.6,
40277023,LOPHOLATILUS CHAMAELEONTICEPS,5,15.8,
40277024,LOPHOLATILUS CHAMAELEONTICEPS,2,3.1,
40277025,SQUALUS CUBENSIS,1,0.6,
40277026,MUSTELUS CANIS,1,3.0,
40277028,MUSTELUS NORRISI,2,6.5,
40277029,THUNNUS ATLANTICUS,1,7.5,
40277030,CARCHARHINUS ACRONOTUS,1,9.0,
40277030,MUSTELUS CANIS,1,3.0,
40277031,CARCHARHINUS PLUMBEUS,2,95.0,E
40277032,CARCHARHINUS ACRONOTUS,1,7.9,
40277033,CARCHARHINUS ACRONOTUS,1,6.0,
40277033,CARCHARHINUS PLUMBEUS,2,68.0,
40277033,OPHICHTHUS,1,0.3,
40277034,CARCHARHINUS LIMBATUS,6,244.0,
40277034,CARCHARHINUS LIMBATUS,1,25.0,E
40277034,RHIZOPRIONODON TERRAENOVAE,2,4.0,
40277035,EPINEPHELUS FLAVOLIMBATUS,1,8.7,
40277035,RHIZOPRIONODON TERRAENOVAE,10,32.5,
40277036,EPINEPHELUS FLAVOLIMBATUS,5,33.9,
40277036,EPINEPHELUS NIGRITUS,1,6.4,
40277036,LOPHOLATILUS CHAMAELEONTICEPS,3,18.7,
40277036,MUSTELUS CANIS,1,5.2,
40277037,CARCHARHINUS FALCIFORMIS,1,38.0,
40277037,MUSTELUS CANIS,2,4.6,
40277037,NEOMERINTHE HEMINGWAYI,1,1.5,
40277037,OPHICHTHUS REX,2,9.0,
40277037,OPHICHTHUS REX,6,67.0,E
40277038,CARCHARHINUS SIGNATUS,1,1.5,
40277038,MUSTELUS SINUSMEXICANUS,2,10.6,
40277038,OPHICHTHUS REX,3,36.0,E
40277039,CARCHARHINUS PLUMBEUS,1,41.5,E
40277039,MUSTELUS SINUSMEXICANUS,2,13.0,
40277039,OPHICHTHUS REX,1,0.5,
40277040,MUSTELUS SINUSMEXICANUS,1,8.2,
40277040,SERIOLA DUMERILI,1,0.4,
40277041,CARCHARHINUS FALCIFORMIS,1,52.0,
40277041,CARCHARHINUS PLUMBEUS,1,44.0,
40277041,MUSTELUS SINUSMEXICANUS,1,1.2,
40277041,OPHICHTHUS REX,1,8.3,
40277042,OPHICHTHUS REX,1,2.0,E
40277043,LOPHOLATILUS CHAMAELEONTICEPS,3,18.3,
40277043,OPHICHTHUS REX,1,0.6,
40277043,SPHYRNA LEWINI,1,23.0,
40277043,UROPHYCIS CIRRATUS,2,1.1,
40277044,CARCHARHINUS PLUMBEUS,1,50.0,
40277044,CENTROPRISTIS PHILADELPHICUS,1,0.1,E
40277044,MUSTELUS SINUSMEXICANUS,3,16.8,
40277044,OPHICHTHUS REX,1,9.0,E
40277045,CARCHARHINUS ACRONOTUS,1,8.0,
40277045,CARCHARHINUS BREVIPINNA,8,80.1,
40277045,RHIZOPRIONODON TERRAENOVAE,2,6.2,
40277046,CARCHARHINUS BREVIPINNA,2,20.7,
40277046,RHIZOPRIONODON TERRAENOVAE,9,28.8,
40277047,BAGRE MARINUS,7,13.9,
40277047,BAGRE MARINUS,1,,D
40277047,CARCHARHINUS LEUCAS,2,80.0,
40277047,CARCHARHINUS LEUCAS,1,63.0,E
40277047,CARCHARHINUS LIMBATUS,12,195.2,
40277047,CARCHARHINUS LIMBATUS,2,,D
40277048,CARCHARHINUS BREVIPINNA,1,16.0,
40277048,CARCHARHINUS LIMBATUS,2,37.0,
40277049,OPHICHTHUS REX,1,5.0,E
40277049,RHIZOPRIONODON TERRAENOVAE,5,15.1,
40277050,CARCHARHINUS LEUCAS,1,62.6,E
40277050,CARCHARHINUS LIMBATUS,2,42.5,
40277050,MICROPOGONIAS UNDULATUS,1,0.1,E
40277051,EPINEPHELUS FLAVOLIMBATUS,1,9.8,
40277051,MUSTELUS,1,4.0,E
40277051,OPHICHTHUS REX,11,97.4,
40277051,OPHICHTHUS REX,2,14.0,E
40277051,SPHYRNA LEWINI,1,57.8,E
40277053,RACHYCENTRON CANADUM,1,3.5,E
40277054,CARCHARHINUS FALCIFORMIS,1,4.0,
40277054,CARCHARHINUS SIGNATUS,1,4.8,
40277054,LUTJANUS CAMPECHANUS,4,22.5,
40277054,RHIZOPRIONODON TERRAENOVAE,21,99.0,
40277054,SPHYRNA LEWINI,1,4.0,
40277055,LUTJANUS CAMPECHANUS,1,5.6,
40277055,MUSTELUS CANIS,1,1.5,
40277055,RHIZOPRIONODON TERRAENOVAE,1,2.4,
40277056,OPHICHTHUS REX,1,1.0,
40277057,LOPHOLATILUS CHAMAELEONTICEPS,5,16.3,
40277058,LOPHOLATILUS CHAMAELEONTICEPS,1,3.5,
40277058,MUSTELUS CANIS,1,2.5,
40277058,OPHICHTHUS REX,1,1.3,
40277058,SQUALUS CUBENSIS,1,0.6,
40277059,LUTJANUS CAMPECHANUS,1,6.5,
40277059,RHIZOPRIONODON TERRAENOVAE,3,12.8,
40277060,OPHICHTHUS REX,1,2.5,E
40277061,CARCHARHINUS FALCIFORMIS,1,4.5,
40277061,LUTJANUS CAMPECHANUS,2,16.1,
40277061,RHIZOPRIONODON TERRAENOVAE,1,5.0,
40277061,SPHYRNA LEWINI,1,3.5,
40277062,CARCHARHINUS LIMBATUS,4,83.5,
40277062,CARCHARHINUS LIMBATUS,1,30.0,E
40277062,RHIZOPRIONODON TERRAENOVAE,2,1.0,
40277065,CARCHARHINUS BREVIPINNA,2,52.0,
40277065,CARCHARHINUS BREVIPINNA,1,19.0,E
40277065,DASYATIS AMERICANA,1,70.0,E
40277065,ECHIOPHIS INTERTINCTUS,1,0.1,E
40277066,CARCHARHINUS ACRONOTUS,1,6.5,
40277066,CARCHARHINUS PLUMBEUS,2,86.0,
40277066,LUTJANUS CAMPECHANUS,1,8.6,
40277066,RHIZOPRIONODON TERRAENOVAE,10,41.7,
40277066,SPHYRNA LEWINI,1,4.0,
40277067,CARCHARHINUS PLUMBEUS,1,70.0,
40277067,CARCHARHINUS PLUMBEUS,2,187.0,E
40277067,LUTJANUS CAMPECHANUS,4,35.7,
40277067,RHIZOPRIONODON TERRAENOVAE,2,7.7,
40277067,RHIZOPRIONODON TERRAENOVAE,2,,D
40277067,SPHYRNA LEWINI,1,2.5,
40277068,RHIZOPRIONODON TERRAENOVAE,24,113.9,
40277069,SQUALUS CUBENSIS,3,2.0,
40277069,UROPHYCIS FLORIDANUS,1,0.3,
40277070,LUTJANUS CAMPECHANUS,4,13.1,
40277071,SPHYRNA LEWINI,1,49.1,E
40277071,UNID.FISH,1,80.0,
40277072,CARCHARHINUS PLUMBEUS,2,170.0,E
40277072,EPINEPHELUS FLAVOLIMBATUS,1,2.2,
40277072,LUTJANUS CAMPECHANUS,7,28.0,
40277072,MUSTELUS CANIS,1,1.9,
40277072,MUSTELUS SINUSMEXICANUS,3,5.0,
40277073,SQUALUS CUBENSIS,1,0.6,
40277073,UROPHYCIS CIRRATUS,2,0.4,
40277074,MUSTELUS CANIS,1,11.2,
40277074,MUSTELUS SINUSMEXICANUS,1,6.5,
40277075,LOPHOLATILUS CHAMAELEONTICEPS,8,25.8,
40277075,SQUALUS CUBENSIS,3,2.3,
40277076,LOPHOLATILUS CHAMAELEONTICEPS,3,12.7,
40277076,UROPHYCIS CIRRATUS,1,1.1,
40277077,RHIZOPRIONODON TERRAENOVAE,13,27.1,
40277077,RHIZOPRIONODON TERRAENOVAE,1,4.0,E
40277078,CARCHARHINUS PLUMBEUS,2,66.0,E
40277078,LUTJANUS CAMPECHANUS,8,59.3,
40277078,LUTJANUS CAMPECHANUS,1,,D
40277078,MUSTELUS SINUSMEXICANUS,2,7.5,
40277079,CARCHARHINUS LIMBATUS,1,20.0,
40277079,RHIZOPRIONODON TERRAENOVAE,9,22.9,
40277080,CARCHARHINUS ACRONOTUS,1,3.3,
40277081,GALEOCERDO CUVIERI,1,35.0,E
40277081,RHIZOPRIONODON TERRAENOVAE,2,6.3,
40277082,CARCHARHINUS ACRONOTUS,5,40.2,
40277082,CARCHARHINUS LIMBATUS,3,93.0,
40277082,CARCHARHINUS LIMBATUS,1,25.3,E
40277083,CARCHARHINUS ACRONOTUS,1,4.0,
40277083,CARCHARHINUS LIMBATUS,3,92.0,
40277083,RHIZOPRIONODON TERRAENOVAE,2,6.1,
40277084,CARCHARHINUS,1,4.0,E
40277084,CARCHARHINUS BREVIPINNA,1,7.2,
40277084,CARCHARHINUS LEUCAS,1,54.0,
40277084,RHIZOPRIONODON TERRAENOVAE,1,2.0,
40277084,RHIZOPRIONODON TERRAENOVAE,1,,D
40277085,BAGRE MARINUS,5,4.9,
40277085,BAGRE MARINUS,1,,D
40277085,CARCHARHINUS LIMBATUS,7,87.5,
40277085,CARCHARHINUS LIMBATUS,1,20.0,E
40277085,DASYATIS AMERICANA,1,20.0,E
40277085,RHIZOPRIONODON TERRAENOVAE,5,13.4,
40277085,RHIZOPRIONODON TERRAENOVAE,1,,D
40277086,CARCHARHINUS LEUCAS,1,46.0,
40277086,CARCHARHINUS LEUCAS,1,15.8,E
40277086,CARCHARHINUS LIMBATUS,19,195.5,
40277086,CARCHARHINUS LIMBATUS,1,,D
40277086,CARCHARHINUS LIMBATUS,4,82.1,E
40277086,RHIZOPRIONODON TERRAENOVAE,4,14.6,
40277087,CARCHARHINUS BREVIPINNA,2,3.9,
40277087,CARCHARHINUS LIMBATUS,1,17.0,E
40277087,RHIZOPRIONODON TERRAENOVAE,20,40.1,
40277087,RHIZOPRIONODON TERRAENOVAE,1,,D
40277088,CARCHARHINUS BREVIPINNA,1,5.9,
40277088,RHIZOPRIONODON TERRAENOVAE,43,134.5,
40277088,RHIZOPRIONODON TERRAENOVAE,1,,D
40277089,BAGRE MARINUS,1,0.8,
40277089,CARCHARHINUS LIMBATUS,8,164.4,
40277089,CARCHARHINUS LIMBATUS,1,20.0,E
40277089,RHIZOPRIONODON TERRAENOVAE,5,5.4,
40277090,CARCHARHINUS ACRONOTUS,1,7.8,
40277091,RHIZOPRIONODON TERRAENOVAE,1,0.5,
40277091,RHIZOPRIONODON TERRAENOVAE,1,0.5,D
40277091,SPHYRNA LEWINI,1,57.8,E
40277092,RHIZOPRIONODON TERRAENOVAE,28,98.6,
40277092,RHIZOPRIONODON TERRAENOVAE,1,,D
40277093,CARCHARHINUS ACRONOTUS,2,19.0,
40277093,CARCHARHINUS LEUCAS,1,75.4,E
40277093,CARCHARHINUS LIMBATUS,2,51.4,E
40277093,GALEOCERDO CUVIERI,1,440.0,E
40277093,RHIZOPRIONODON TERRAENOVAE,23,91.1,
40277093,RHIZOPRIONODON TERRAENOVAE,6,0.0,D
40277093,RHIZOPRIONODON TERRAENOVAE,2,7.0,E
40277094,RHIZOPRIONODON TERRAENOVAE,17,64.1,
40277095,CARCHARHINUS FALCIFORMIS,1,2.8,
40277095,CARCHARHINUS PLUMBEUS,1,60.0,
40277095,CARCHARHINUS PLUMBEUS,1,32.0,E
40277095,LUTJANUS CAMPECHANUS,3,18.9,
40277095,RHIZOPRIONODON TERRAENOVAE,2,6.2,
40277095,RHIZOPRIONODON TERRAENOVAE,1,6.0,E
40277096,CARCHARHINUS FALCIFORMIS,1,3.4,
40277096,GALEOCERDO CUVIERI,1,26.0,
40277096,OPHICHTHUS REX,1,0.9,
40277097,LUTJANUS CAMPECHANUS,1,4.9,
40277097,OPHICHTHUS REX,1,2.5,
40277097,SPHYRNA,1,37.0,E
40277097,SPHYRNA LEWINI,2,120.0,
40277098,CARCHARHINUS ACRONOTUS,2,8.7,
40277099,CARCHARHINUS ACRONOTUS,5,47.9,
40277099,CARCHARHINUS ACRONOTUS,1,9.7,E
40277099,CARCHARHINUS LIMBATUS,1,13.0,
40277099,GALEOCERDO CUVIERI,1,14.0,E
40277100,CARCHARHINUS ACRONOTUS,3,25.6,
40277100,CARCHARHINUS ACRONOTUS,1,,D
40277100,CARCHARHINUS LEUCAS,1,52.0,E
40277100,CARCHARHINUS LIMBATUS,1,28.0,
40277100,CARCHARHINUS LIMBATUS,1,43.0,E
40277100,RHIZOPRIONODON TERRAENOVAE,2,8.4,
40277101,CARCHARHINUS LEUCAS,1,127.0,E
40277101,GALEOCERDO CUVIERI,1,3.8,
40277102,RHIZOPRIONODON TERRAENOVAE,23,63.3,
40277102,RHIZOPRIONODON TERRAENOVAE,1,,D
40277103,CARCHARHINUS LEUCAS,1,44.0,
40277104,ARIUS FELIS,1,0.4,
40277104,CARCHARHINUS ACRONOTUS,3,19.5,
40277104,CARCHARHINUS ACRONOTUS,1,,D
40277105,RHIZOPRIONODON TERRAENOVAE,3,10.7,
40277106,ARIUS FELIS,1,0.6,
40277106,RHIZOPRIONODON TERRAENOVAE,17,55.9,
40277106,RHIZOPRIONODON TERRAENOVAE,2,,D
40277107,RHIZOPRIONODON TERRAENOVAE,4,3.4,
40277107,RHIZOPRIONODON TERRAENOVAE,1,,D
40277108,RHIZOPRIONODON TERRAENOVAE,3,9.3,
40277109,BAGRE MARINUS,2,1.3,
40277109,CARCHARHINUS BREVIPINNA,1,9.9,
40277109,CARCHARHINUS LEUCAS,1,63.0,E
40277109,CARCHARHINUS LIMBATUS,2,41.0,
40277109,RHIZOPRIONODON TERRAENOVAE,1,0.4,
40277110,ARIUS FELIS,1,0.5,
40277110,BAGRE MARINUS,1,1.0,
40277110,BAGRE MARINUS,1,,D
40277110,CARCHARHINUS BREVIPINNA,1,2.3,
40277110,CARCHARHINUS LIMBATUS,6,91.7,
40277110,CARCHARHINUS LIMBATUS,3,68.8,E
40277110,RHIZOPRIONODON TERRAENOVAE,1,3.6,
40277110,SCIAENOPS OCELLATA,5,31.5,
40277111,EPINEPHELUS FLAVOLIMBATUS,2,8.3,
40277111,LUTJANUS CAMPECHANUS,3,15.0,
40277111,MUSTELUS CANIS,1,7.0,
40277111,MUSTELUS SINUSMEXICANUS,1,2.1,
40277111,MYCTEROPERCA INTERSTITIALIS,1,4.5,
40277112,CARCHARHINUS PLUMBEUS,2,47.0,
40277112,LUTJANUS CAMPECHANUS,1,12.0,
40277112,MUSTELUS,1,11.0,
40277112,MUSTELUS CANIS,1,8.5,
40277112,MUSTELUS SINUSMEXICANUS,4,21.2,
40277112,MUSTELUS SINUSMEXICANUS,1,,D
40277112,OPHICHTHUS REX,1,1.2,
40277112,OPHICHTHUS REX,5,41.0,E
40277112,RHIZOPRIONODON TERRAENOVAE,3,12.1,
40277112,SPHYRNA LEWINI,3,60.0,
40277113,EPINEPHELUS FLAVOLIMBATUS,2,5.1,
40277114,MUSTELUS CANIS,1,7.6,
40277115,CARCHARHINUS,1,92.0,E
40277116,LUTJANUS CAMPECHANUS,5,17.8,
40277116,LUTJANUS CAMPECHANUS,1,5.5,E
40277117,CARCHARHINUS ACRONOTUS,5,35.0,
40277117,RHIZOPRIONODON TERRAENOVAE,2,6.1,
40277118,CARCHARHINUS ACRONOTUS,1,7.5,
40277118,RHIZOPRIONODON TERRAENOVAE,16,24.3,
40277118,RHIZOPRIONODON TERRAENOVAE,1,,C
40277118,RHIZOPRIONODON TERRAENOVAE,3,4.1,D
40277119,CARCHARHINUS ACRONOTUS,6,31.9,
40277120,POMATOMUS SALTATRIX,1,0.6,
40277120,RHIZOPRIONODON TERRAENOVAE,1,0.5,
40277121,CARCHARHINUS ACRONOTUS,1,7.0,
40277122,CARCHARHINUS ACRONOTUS,3,15.8,
40277122,EPINEPHELUS MORIO,3,2.8,
40277123,GALEOCERDO CUVIERI,1,2.1,E
40277123,RHIZOPRIONODON TERRAENOVAE,2,2.6,
40277124,RHIZOPRIONODON TERRAENOVAE,5,17.9,
